id,latitude,longitude,year,month,day,minute,weekday
59777fe0cb17471ac0566acd,-23.5556,-46.7304067,2017,7,25,36,1
59777fe0cb17471ac0566acf,-23.5564911,-46.7300294,2017,7,25,37,1
59777fe0cb17471ac0566ad1,-23.5556,-46.7304067,2017,7,25,37,1
59777fe0cb17471ac0566ad3,-23.5556,-46.7304067,2017,7,25,38,1
59777fe0cb17471ac0566ad5,-23.555685,-46.73037,2017,7,25,38,1
59777fe0cb17471ac0566ad7,-23.555685,-46.73037,2017,7,25,39,1
59777fe0cb17471ac0566adb,-23.5565351,-46.7312379,2017,7,25,44,1
59777fe0cb17471ac0566ade,-23.5565351,-46.7312379,2017,7,25,45,1
59777fe0cb17471ac0566ae0,-23.55592,-46.7300583,2017,7,25,45,1
59777fe0cb17471ac0566ae2,-23.5558305,-46.7298972,2017,7,25,46,1
59777fe0cb17471ac0566ae4,-23.5562067,-46.7296317,2017,7,25,46,1
59777fe0cb17471ac0566ae6,-23.5564122,-46.7293684,2017,7,25,47,1
59777fe0cb17471ac0566ae9,-23.556594,-46.7290852,2017,7,25,47,1
59777fe0cb17471ac0566aec,-23.5566317,-46.7289417,2017,7,25,48,1
59777fe0cb17471ac0566aef,-23.556885,-46.7286067,2017,7,25,48,1
59777fe0cb17471ac0566af2,-23.5572367,-46.728505,2017,7,25,49,1
59777fe0cb17471ac0566af5,-23.5574967,-46.7286167,2017,7,25,49,1
59777fe0cb17471ac0566af8,-23.5577017,-46.7285483,2017,7,25,50,1
59777fe0cb17471ac0566afb,-23.5578583,-46.7283367,2017,7,25,50,1
59777fe0cb17471ac0566afe,-23.5580283,-46.7280583,2017,7,25,51,1
59777fe0cb17471ac0566b01,-23.55826,-46.7277233,2017,7,25,51,1
59777fe0cb17471ac0566b04,-23.5585367,-46.7273933,2017,7,25,52,1
59777fe0cb17471ac0566b07,-23.5588267,-46.72719,2017,7,25,52,1
59777fe0cb17471ac0566b0a,-23.55901,-46.7268767,2017,7,25,53,1
59777fe0cb17471ac0566b0e,-23.5591967,-46.72659,2017,7,25,53,1
59777fe0cb17471ac0566b10,-23.5593717,-46.72623,2017,7,25,54,1
